Type,Category,Permission,Grantable,Only for tx creator,Description,Additional Information,Note,Related Command,Example
Command,Account,can_create_account,FALSE,FALSE,Allows creating new accounts.,,,http://iroha.readthedocs.io/en/latest/api/commands.html#create-account,"Admin creates domain ""test"" that contains only can_create_account permission and Alice account in that domain. Alice can create Bob account."
Command,Account,can_set_detail,FALSE,TRUE,Allows setting account detail.,"The permission allows setting details to other accounts. Another way to set detail without can_set_detail permission is to grant `can_set_my_account_detail`_ permission to someone. In order to grant, transaction creator should have `can_grant_can_set_my_account_detail`_ permission.",Transaction creator can always set detail for own account even without that permission.,http://iroha.readthedocs.io/en/latest/api/commands.html#set-account-detail,"Admin creates domain ""test"" that contains only can_set_detail permission and Alice account in that domain. Alice can set detail for Admin account."
Command,Account,can_set_my_account_detail,TRUE,,Permission that allows a specified account to set details for the another specified account., ,To grant the permission an account should already have a role with `can_grant_can_set_my_account_detail`_ permission.,http://iroha.readthedocs.io/en/latest/api/commands.html#set-account-detail,"Admin creates domain ""test"" that contains only can_grant_can_set_my_account_detail permission and two accounts for Alice and Bob in that domain. Alice grants to Bob can_set_my_account_detail permission. Bob can set detail for Alice account."
Command,Asset,can_create_asset,FALSE,FALSE,Allows creating new assets.,,,http://iroha.readthedocs.io/en/latest/api/commands.html#create-asset,"Admin creates domain ""test"" that contains only can_create_asset permission and Alice account in that domain. Alice can create new assets."
Command,Asset,can_receive,FALSE,,Allows account receive assets.,,,http://iroha.readthedocs.io/en/latest/api/commands.html#transfer-asset,"Admin creates domain ""test"" that contains can_receive and can_transfer permissions and two accounts for Alice and Bob. Admin creates ""coin"" asset, adds some quantity of it and transfers the asset to Alice. Alice can transfer assets to Bob (Alice has can_transfer permission and Bob has can_receive permission)."
Command,Asset,can_transfer,FALSE,FALSE,Allows sending assets from an account of transaction creator.,"You can transfer an asset from one domain to another, even if the other domain does not have an asset with the same name.",Destination account should have `can_receive`_ permission.,http://iroha.readthedocs.io/en/latest/api/commands.html#transfer-asset,
Command,Asset,can_transfer_my_assets,TRUE,,Permission that allows a specified account to transfer assets of another specified account.,See the example (to be done) for the usage details., ,http://iroha.readthedocs.io/en/latest/api/commands.html#transfer-asset,"Admin creates domain ""test"" that contains can_grant_can_transfer_my_assets, can_receive, can_transfer permissions and two accounts for Alice and Bob in that domain. Admin issues some amount of ""coin"" asset and transfers it to Alice. Alice grants to Bob can_transfer_my_assets permission. Bob can transfer Alice's assets to any account that has can_receive permission, for example, to Admin."
Command,Asset Quantity,can_add_asset_qty,FALSE,TRUE,Allows issuing assets.,The corresponding command can be executed only for an account of transaction creator and only if that account has a role with the permission.,,http://iroha.readthedocs.io/en/latest/api/commands.html#add-asset-quantity,"Admin creates domain ""test"" that contains only can_add_asset_qty permission and Alice account in that domain. Admin craetes ""coin"" asset. Alice can add to own account any amount of any asset (e.g. ""coin"" asset)."
Command,Asset Quantity,can_subtract_asset_qty,FALSE,TRUE,Allows burning assets.,The corresponding command can be executed only for an account of transaction creator and only if that account has a role with the permission.,,http://iroha.readthedocs.io/en/latest/api/commands.html#subtract-asset-quantity,"Admin creates domain ""test"" that contains only can_subtract_asset_qty permission and Alice account in that domain. Admin issues some amount of ""coin"" asset and transfers some amount of ""coin"" asset to Alice. Alice can burn any amount of ""coin"" assets."
Command,Asset Quantity,can_add_domain_asset_qty,FALSE,TRUE,Allows issuing assets only in own domain.,The corresponding command can be executed only for an account of transaction creator and only if that account has a role with the permission and only for assets in creator’s domain. ,,http://iroha.readthedocs.io/en/latest/api/commands.html#add-asset-quantity,
Command,Asset Quantity,can_subtract_domain_asset_qty,FALSE,TRUE,Allows burning assets only in own domain.,The corresponding command can be executed only for an account of transaction creator and only if that account has a role with the permission and only for assets in creator’s domain.,,http://iroha.readthedocs.io/en/latest/api/commands.html#subtract-asset-quantity,
Command,Domain,can_create_domain,FALSE,,Allows creating new domains within the system.,,,http://iroha.readthedocs.io/en/latest/api/commands.html#create-domain,Admin creates domain that contains only can_create_domain permission and Alice account in that domain. Alice can create new domains.
Command,Grant,can_grant_can_add_my_signatory,FALSE,,Allows role owners grant `can_add_my_signatory`_ permission.,,,"http://iroha.readthedocs.io/en/latest/api/commands.html#grant-permission

http://iroha.readthedocs.io/en/latest/api/commands.html#revoke-permission",Admin creates domain that contains only can_grant_can_add_my_signatory permission and two accounts for Alice and Bob in that domain. Alice can grant to Bob and revoke can_add_my_signatory permission.
Command,Grant,can_grant_can_remove_my_signatory,FALSE,,Allows role owners grant `can_remove_my_signatory`_ permission.,,,"http://iroha.readthedocs.io/en/latest/api/commands.html#grant-permission

http://iroha.readthedocs.io/en/latest/api/commands.html#revoke-permission",Admin creates domain that contains only can_grant_can_remove_my_signatory permission and two accounts for Alice and Bob in that domain. Alice can grant to Bob and revoke can_remove_my_signatory permission.
Command,Grant,can_grant_can_set_my_account_detail,FALSE,,Allows role owners grant `can_set_my_account_detail`_ permission.,,,"http://iroha.readthedocs.io/en/latest/api/commands.html#grant-permission

http://iroha.readthedocs.io/en/latest/api/commands.html#revoke-permission",Admin creates domain that contains only can_grant_can_set_my_account_detail permission and two accounts for Alice and Bob in that domain. Alice can grant to Bob and revoke can_set_my_account_detail permission.
Command,Grant,can_grant_can_set_my_quorum,FALSE,,Allows role owners grant `can_set_my_quorum`_ permission.,,,"http://iroha.readthedocs.io/en/latest/api/commands.html#grant-permission

http://iroha.readthedocs.io/en/latest/api/commands.html#revoke-permission",Admin creates domain that contains only can_grant_can_set_my_quorum permission and two accounts for Alice and Bob in that domain. Alice can grant to Bob and revoke can_set_my_quorum permission.
Command,Grant,can_grant_can_transfer_my_assets,FALSE,,Allows role owners grant `can_transfer_my_assets`_ permission.,,,"http://iroha.readthedocs.io/en/latest/api/commands.html#grant-permission

http://iroha.readthedocs.io/en/latest/api/commands.html#revoke-permission",Admin creates domain that contains only can_grant_can_transfer_my_assets permission and two accounts for Alice and Bob in that domain. Alice can grant to Bob and revoke can_transfer_my_assets permission.
Command,Peer,can_add_peer,FALSE,,Allows adding peers to the network.,"A new peer will be a valid participant in the next consensus round after an agreement on transaction containing ""addPeer"" command.",,http://iroha.readthedocs.io/en/latest/api/commands.html#add-peer,Admin creates domain that contains only can_add_peer permission and Alice account in that domain. Alice can add new peers.
Command,Role,can_append_role,FALSE,,Allows appending roles to another account.,You can append only that role that has lesser or the same set of privileges as transaction creator.,,http://iroha.readthedocs.io/en/latest/api/commands.html#append-role,Admin creates domian that contains can_append_role and can_add_peer permissions and two accounts for Alice and Bob in that domain. Admin creates the second role that contains only can_add_peer permission. Alice can append role to Bob.
Command,Role,can_create_role,FALSE,,Allows creating a new role within a system.,"Possible set of permissions for a new role is limited to those permissions that transaction creator has.
",,http://iroha.readthedocs.io/en/latest/api/commands.html#create-role,Admin creates domain that contains only can_create_role permission and Alice account in that domain. Alice can create new roles.
Command,Role,can_detach_role,FALSE,,Allows revoking a role from a user.,,Due to a known issue the permission allows to detach any role without limitations https://soramitsu.atlassian.net/browse/IR-1468,http://iroha.readthedocs.io/en/latest/api/commands.html#detach-role,Admin creates domain that contains only can_detach_role permission and creates Alice account in that domain. Admin has two roles test_role and admin_role. Alice can detach test_role from Admin account.
Command,Signatory,can_add_my_signatory,TRUE,,Permission that allows a specified account to add an extra public key to the another specified account.,,,http://iroha.readthedocs.io/en/latest/api/commands.html#add-signatory,Admin creates domain that contains only can_grant_can_add_my_signatory permission and two accounts for Alice and Bob in that domain. Alice can grant to Bob can_add_my_signatory permission. Bob can add an extra key to Alice account.
Command,Signatory,can_add_signatory,FALSE,FALSE,Allows linking additional public keys to account.,The corresponding command can be executed only for an account of transaction creator and only if that account has a role with the permission.,,http://iroha.readthedocs.io/en/latest/api/commands.html#add-signatory,Admin creates domain that contains only can_add_signatory permission and Alice account in that domain. Alice can add to own account additional keys.
Command,Signatory,can_remove_my_signatory,TRUE,,Permission that allows a specified account remove public key from the another specified account.,See the example (to be done) for the usage details.,,http://iroha.readthedocs.io/en/latest/api/commands.html#remove-signatory,Admin creates domain that contains can_add_signatory and can_grant_can_remove_my_signatory permissions and two accounts for Alice and Bob. Alice grants can_remove_my_signatory permission to Bob and adds additional key to own account. Bob can remove one of Alice's keys.
Command,Signatory,can_remove_signatory,FALSE,FALSE,Allows unlinking additional public keys from an account.,The corresponding command can be executed only for an account of transaction creator and only if that account has a role with the permission.,,http://iroha.readthedocs.io/en/latest/api/commands.html#remove-signatory,Admin creates domian that contains can_remove_signatory permission and Alice account in that domain. Admin adds an extra key to Alice account. Alice can remove one of the keys.
Command,Signatory,can_set_my_quorum,TRUE,,Permission that allows a specified account to set quorum for the another specified account.,Account should have greater or equal amount of keys than quorum. ,,http://iroha.readthedocs.io/en/latest/api/commands.html#set-account-quorum,Admin creates domain that contains can_grant_can_set_my_quorum and can_add_signatory permissions and create two accounts for Alice and Bob in that domain. Alice grants to Bob can_set_my_qourum permission and adds an extra key to account. Bob can set quorum for Alice.
Command,Signatory,can_set_quorum,FALSE,FALSE,Allows setting quorum.,At least the same number (or more) of public keys should be already linked to an account.,,http://iroha.readthedocs.io/en/latest/api/commands.html#set-account-quorum,Admin creates domain that contains only can_set_quorum permission and creates Alice account in that domain. Admin adds an extra key for Alice account. Alice can set quorum equals two.
Query,Account,can_get_all_acc_detail,FALSE,,Allows getting all the details set to any account within the system.,,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account-detail,Admin creates Alice account in a diffrerent domain that has only can_get_all_acc_detail permission. Alice can access details set to Admin account.
Query,Account,can_get_all_accounts,FALSE,,"Allows getting account information: quorum and all the details related to the account.

With this permission, query creator can get information about any account within a system.",All the details (set by the account owner or owners of other accounts) will be returned.,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account,Admin creates Alice account in a different domain that has only can_get_all_accounts permission. Alice can access account information of Admin.
Query,Account,can_get_domain_acc_detail,FALSE,,Allows getting all the details set to any account within the same domain as a domain of query creator account.,,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account-detail,Admin creates Alice account in the same domain that has only can_get_domain_acc_detail permission. Alice can get details set to Admin account.
Query,Account,can_get_domain_accounts,FALSE,,"Allows getting account information: quorum and all the details related to the account.

With this permission, query creator can get information only about accounts from the same domain.",All the details (set by the account owner or owners of other accounts) will be returned.,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account,Admin creates Alice account in the same domain that has only can_get_domain_accounts. Alice can access account information of Admin.
Query,Account,can_get_my_acc_detail,FALSE,,Allows getting all the details set to the account of query creator.,,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account-detail,Admin creates Alice account in the domain that has only can_get_my_acc_detail permission. Alice can get details set to own account.
Query,Account,can_get_my_account,FALSE,,"Allows getting account information: quorum and all the details related to the account.

With this permission, query creator can get information only about own account.",All the details (set by the account owner or owners of other accounts) will be returned.,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account,Admin creates Alice account in the domain that has only can_get_my_account permission. Alice can access own account information.
Query,Account Asset,can_get_all_acc_ast,FALSE,,Allows getting a balance of assets on any account within the system.,Query response will contain information about all the assets that ever been assigned to an account.,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account-assets,Admin creates Alice account in a different domain that has only can_get_all_acc_ast permission. Alice can access assets balance on Admin account.
Query,Account Asset,can_get_domain_acc_ast,FALSE,,Allows getting a balance of specified asset on any account within the same domain as a domain of query creator account.,Query response will contain information about all the assets that ever been assigned to an account.,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account-assets,Admin creates Alice account in the same domain that has only can_get_domain_acc_ast permission. Alice can access assets balance on Admin account.
Query,Account Asset,can_get_my_acc_ast,FALSE,,Allows getting a balance of specified asset on account of query creator.,Query response will contain information about all the assets that ever been assigned to an account.,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account-assets,Admin creates Alice account in a domain that has only can_get_my_acc_ast permission. Alice can access assets balance on own account.
Query,Account Asset Transaction,can_get_all_acc_ast_txs,FALSE,,Allows getting transactions associated with a specified asset and any account within the system.,,Incoming asset transfers will also appear in the query response.,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account-asset-transactions,"Admin creates Alice account in a different domain that has can_get_all_acc_ast_txs, can_receive and can_transfer permissions. Admin issues some amount of coins and transfers them to Alice. Alice can query all transactions related to coins and Admin account."
Query,Account Asset Transaction,can_get_domain_acc_ast_txs,FALSE,,Allows getting transactions associated with a specified asset and an account from the same domain as query creator.,,Incoming asset transfers will also appear in the query response.,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account-asset-transactions,Admin creates Alice in the same domain that has only can_get_domain_acc_ast_txs permission. Admin issues some amount of coins and transfers them to Alice. Alice can query all transactions related to coins and Admin account.
Query,Account Asset Transaction,can_get_my_acc_ast_txs,FALSE,,Allows getting transactions associated with the account of query creator and specified asset.,,Incoming asset transfers will also appear in the query response.,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account-asset-transactions,Admin creates Alice account in a domain that has only can_get_my_acc_ast_txs permission. Admin issues some amount of coins and transfers them to Alice. Alice can query all transactions related to coins and own account.
Query,Account Transaction,can_get_all_acc_txs,FALSE,,Allows getting all transactions issued by any account within the system.,,Incoming asset transfer inside a transaction would NOT lead to an appearance of the transaction in the command output.,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account-transactions,Admin creates Alice account in a different domain that has only can_get_all_acc_txs permiison. Alice can request all the transactions issues by Admin.
Query,Account Transaction,can_get_domain_acc_txs,FALSE,,Allows getting all transactions issued by any account from the same domain as query creator.,,Incoming asset transfer inside a transaction would NOT lead to an appearance of the transaction in the command output.,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account-transactions,Admin creates Alice account in the same domain that has only can_get_domain_acc_txs permission. Alice can request all the transactions issued by Admin.
Query,Account Transaction,can_get_my_acc_txs,FALSE,,Allows getting all transactions issued by an account of query creator.,,Incoming asset transfer inside a transaction would NOT lead to an appearance of the transaction in the command output.,http://iroha.readthedocs.io/en/latest/api/queries.html#get-account-transactions,Admin creates Alice account in a domain that has only can_get_my_acc_txs permission. Alice can get all transactions issued by own account.
Query,Asset,can_read_assets,FALSE,,Allows getting information about asset precision.,,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-asset-info,Admin creates Alice account in a domain that has can_read_assets permissions. Alice can query information about any asset.
Query,Block Stream,can_get_blocks,FALSE,,Allows subscription to the stream of accepted blocks.,,,,
Query,Role,can_get_roles,FALSE,,"Allows getting a list of roles within the system.
Allows getting a list of permissions associated with a role.",,,"http://iroha.readthedocs.io/en/latest/api/queries.html#get-roles

http://iroha.readthedocs.io/en/latest/api/queries.html#get-role-permissions",Admin creates Alice account in a domain that has can_get_roles permission. Alice can query list of all existing roles. Alice can query list of permissions contained in any role.
Query,Signatory,can_get_all_signatories,FALSE,,Allows getting a list of public keys linked to an account within the system.,,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-signatories,Admin creates Alice account in a different domain that has only can_get_all_signatories permission. Alice can query a list of public keys related to Admin account.
Query,Signatory,can_get_domain_signatories,FALSE,,Allows getting a list of public keys of any account within the same domain as the domain of query creator account.,,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-signatories,Admin creates Alice account in the same domain that has only can_get_domain_signatories permission. Alice can query a list of public keys related to Admin account.
Query,Signatory,can_get_my_signatories,FALSE,,Allows getting a list of public keys of query creator account.,,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-signatories,Admin creates Alice account in a domain that has only can_get_my_signatories permission. Alice can query a list of public keys related to own account.
Query,Transaction,can_get_all_txs,FALSE,,Allows getting any transaction by hash.,,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-transactions,Admin issues several transactions and creates Alice account in a different domain that has only can_get_all_txs permission. Alice (knowing transactions hashes) can query transactions issued by Admin Account.
Query,Transaction,can_get_my_txs,FALSE,,Allows getting transaction (that was issued by query creator) by hash.,,,http://iroha.readthedocs.io/en/latest/api/queries.html#get-transactions,Admin creates Alice account in a different domain. Alice (knowing transactions hashes) issues several transactions. Alice can query own transactions.
